EmpID,Age,MaritalStatus,JobRole,Attrition,BusinessTravel,HourlyRate,DailyRate,MonthlyIncome,YearlyIncome,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,Single,Sales Executive,Yes,Travel_Rarely,94,1102,5993,71916,Sales,1,2,Life Sciences,2,Female,3,2,4,8,Yes,11,3,1,80,0,8,0,1,6,4,0,5
2,49,Married,Research Scientist,No,Travel_Frequently,61,279,5130,61560,Research & Development,8,1,Life Sciences,3,Male,2,2,2,1,No,23,4,4,80,1,10,3,3,10,7,1,7
3,37,Single,Laboratory Technician,Yes,Travel_Rarely,92,1373,2090,25080,Research & Development,2,2,Other,4,Male,2,1,3,6,Yes,15,3,2,80,0,7,3,3,0,0,0,0
4,33,Married,Research Scientist,No,Travel_Frequently,56,1392,2909,34908,Research & Development,3,4,Life Sciences,4,Female,3,1,3,1,Yes,11,3,3,80,0,8,3,3,8,7,3,0
5,27,Married,Laboratory Technician,No,Travel_Rarely,40,591,3468,41616,Research & Development,2,1,Medical,1,Male,3,1,2,9,No,12,3,4,80,1,6,3,3,2,2,2,2
6,32,Single,Laboratory Technician,No,Travel_Frequently,79,1005,3068,36816,Research & Development,2,2,Life Sciences,4,Male,3,1,4,0,No,13,3,3,80,0,8,2,2,7,7,3,6
7,59,Married,Laboratory Technician,No,Travel_Rarely,81,1324,2670,32040,Research & Development,3,3,Medical,3,Female,4,1,1,4,Yes,20,4,1,80,3,12,3,2,1,0,0,0
8,30,Divorced,Laboratory Technician,No,Travel_Rarely,67,1358,2693,32316,Research & Development,24,1,Life Sciences,4,Male,3,1,3,1,No,22,4,2,80,1,1,2,3,1,0,0,0
9,38,Single,Manufacturing Director,No,Travel_Frequently,44,216,9526,114312,Research & Development,23,3,Life Sciences,4,Male,2,3,3,0,No,21,4,2,80,0,10,2,3,9,7,1,8
10,36,Married,Healthcare Representative,No,Travel_Rarely,94,1299,5237,62844,Research & Development,27,3,Medical,3,Male,3,2,3,6,No,13,3,2,80,2,17,3,2,7,7,7,7
11,35,Married,Laboratory Technician,No,Travel_Rarely,84,809,2426,29112,Research & Development,16,3,Medical,1,Male,4,1,2,0,No,13,3,3,80,1,6,5,3,5,4,0,3
12,29,Single,Laboratory Technician,No,Travel_Rarely,49,153,4193,50316,Research & Development,15,2,Life Sciences,4,Female,2,2,3,0,Yes,12,3,4,80,0,10,3,3,9,5,0,8
13,31,Divorced,Research Scientist,No,Travel_Rarely,31,670,2911,34932,Research & Development,26,1,Life Sciences,1,Male,3,1,3,1,No,17,3,4,80,1,5,1,2,5,2,4,3
14,34,Divorced,Laboratory Technician,No,Travel_Rarely,93,1346,2661,31932,Research & Development,19,2,Medical,2,Male,3,1,4,0,No,11,3,3,80,1,3,2,3,2,2,1,2
15,28,Single,Laboratory Technician,Yes,Travel_Rarely,50,103,2028,24336,Research & Development,24,3,Life Sciences,3,Male,2,1,3,5,Yes,14,3,2,80,0,6,4,3,4,2,0,3
16,29,Divorced,Manufacturing Director,No,Travel_Rarely,51,1389,9980,119760,Research & Development,21,4,Life Sciences,2,Female,4,3,1,1,No,11,3,3,80,1,10,1,3,10,9,8,8
17,32,Divorced,Research Scientist,No,Travel_Rarely,80,334,3298,39576,Research & Development,5,2,Life Sciences,1,Male,4,1,2,0,Yes,12,3,4,80,2,7,5,2,6,2,0,5
18,22,Divorced,Laboratory Technician,No,Non-Travel,96,1123,2935,35220,Research & Development,16,2,Medical,4,Male,4,1,4,1,Yes,13,3,2,80,2,1,2,2,1,0,0,0
19,53,Married,Manager,No,Travel_Rarely,78,1219,15427,185124,Sales,2,4,Life Sciences,1,Female,2,4,4,2,No,16,3,3,80,0,31,3,3,25,8,3,7
20,38,Single,Research Scientist,No,Travel_Rarely,45,371,3944,47328,Research & Development,2,3,Life Sciences,4,Male,3,1,4,5,Yes,11,3,3,80,0,6,3,3,3,2,1,2
21,24,Divorced,Manufacturing Director,No,Non-Travel,96,673,4011,48132,Research & Development,11,2,Other,1,Female,4,2,3,0,No,18,3,4,80,1,5,5,2,4,2,1,3
22,36,Single,Sales Representative,Yes,Travel_Rarely,82,1218,3407,40884,Sales,9,4,Life Sciences,3,Male,2,1,1,7,No,23,4,2,80,0,10,4,3,5,3,0,3
23,34,Single,Research Director,No,Travel_Rarely,53,419,11994,143928,Research & Development,7,4,Life Sciences,1,Female,3,3,2,0,No,11,3,3,80,0,13,4,3,12,6,2,11
24,21,Single,Research Scientist,No,Travel_Rarely,96,391,1232,14784,Research & Development,15,2,Life Sciences,3,Male,3,1,4,1,No,14,3,4,80,0,0,6,3,0,0,0,0
25,34,Single,Research Scientist,Yes,Travel_Rarely,83,699,2960,35520,Research & Development,6,1,Medical,2,Male,3,1,1,2,No,11,3,3,80,0,8,2,3,4,2,1,3
26,53,Divorced,Manager,No,Travel_Rarely,58,1282,19094,229128,Research & Development,5,3,Other,3,Female,3,5,3,4,No,11,3,4,80,1,26,3,2,14,13,4,8
27,32,Single,Research Scientist,Yes,Travel_Frequently,72,1125,3919,47028,Research & Development,16,1,Life Sciences,2,Female,1,1,1,1,Yes,22,4,2,80,0,10,5,3,10,2,6,7
28,42,Married,Sales Executive,No,Travel_Rarely,48,691,6825,81900,Sales,8,4,Marketing,3,Male,3,2,2,0,No,11,3,4,80,1,10,2,3,9,7,4,2
29,44,Married,Healthcare Representative,No,Travel_Rarely,42,477,10248,122976,Research & Development,7,4,Medical,1,Female,2,3,4,3,No,14,3,4,80,1,24,4,3,22,6,5,17
30,46,Single,Manager,No,Travel_Rarely,83,705,18947,227364,Sales,2,4,Marketing,2,Female,3,5,1,3,No,12,3,4,80,0,22,2,2,2,2,2,1
31,33,Single,Laboratory Technician,No,Travel_Rarely,78,924,2496,29952,Research & Development,2,3,Medical,3,Male,3,1,4,4,No,11,3,4,80,0,7,3,3,1,1,0,0
32,44,Married,Healthcare Representative,No,Travel_Rarely,41,1459,6465,77580,Research & Development,10,4,Other,4,Male,3,2,4,2,Yes,13,3,4,80,0,9,5,4,4,2,1,3
33,30,Single,Laboratory Technician,No,Travel_Rarely,83,125,2206,26472,Research & Development,9,2,Medical,4,Male,2,1,3,1,No,13,3,1,80,0,10,5,3,10,0,1,8
34,39,Married,Sales Representative,Yes,Travel_Rarely,56,895,2086,25032,Sales,5,3,Technical Degree,4,Male,3,2,4,3,No,14,3,3,80,1,19,6,4,1,0,0,0
35,24,Married,Research Scientist,Yes,Travel_Rarely,61,813,2293,27516,Research & Development,1,3,Medical,2,Male,3,1,4,2,Yes,16,3,1,80,1,6,2,2,2,0,2,0
36,43,Divorced,Research Scientist,No,Travel_Rarely,72,1273,2645,31740,Research & Development,2,2,Medical,4,Female,4,1,3,1,No,12,3,4,80,2,6,3,2,5,3,1,4
37,50,Married,Sales Representative,Yes,Travel_Rarely,86,869,2683,32196,Sales,3,2,Marketing,1,Male,2,1,3,1,Yes,14,3,3,80,0,3,2,3,3,2,0,2
38,35,Married,Sales Representative,No,Travel_Rarely,97,890,2014,24168,Sales,2,3,Marketing,4,Female,3,1,4,1,No,13,3,1,80,0,2,3,3,2,2,2,2
39,36,Married,Research Scientist,No,Travel_Rarely,82,852,3419,41028,Research & Development,5,4,Life Sciences,2,Female,2,1,1,9,Yes,14,3,4,80,1,6,3,4,1,1,0,0
40,33,Married,Sales Executive,No,Travel_Frequently,42,1141,5376,64512,Sales,1,3,Life Sciences,3,Female,4,2,1,2,No,19,3,1,80,2,10,3,3,5,3,1,3
41,35,Divorced,Laboratory Technician,No,Travel_Rarely,75,464,1951,23412,Research & Development,4,2,Other,3,Male,3,1,4,1,No,12,3,3,80,1,1,3,3,1,0,0,0
42,27,Divorced,Laboratory Technician,No,Travel_Rarely,33,1240,2341,28092,Research & Development,2,4,Life Sciences,4,Female,3,1,1,1,No,13,3,4,80,1,1,6,3,1,0,0,0
43,26,Single,Laboratory Technician,Yes,Travel_Rarely,48,1357,2293,27516,Research & Development,25,3,Life Sciences,1,Male,1,1,3,1,No,12,3,3,80,0,1,2,2,1,0,0,1
44,27,Single,Sales Executive,No,Travel_Frequently,37,994,8726,104712,Sales,8,3,Life Sciences,4,Male,3,3,3,1,No,15,3,4,80,0,9,0,3,9,8,1,7
45,30,Single,Laboratory Technician,No,Travel_Frequently,58,721,4011,48132,Research & Development,1,2,Medical,3,Female,3,2,4,1,No,23,4,4,80,0,12,2,3,12,8,3,7
46,41,Married,Research Director,Yes,Travel_Rarely,49,1360,19545,234540,Research & Development,12,3,Technical Degree,2,Female,3,5,3,1,No,12,3,4,80,0,23,0,3,22,15,15,8
47,34,Single,Sales Executive,No,Non-Travel,72,1065,4568,54816,Sales,23,4,Marketing,2,Male,3,2,3,0,No,20,4,3,80,0,10,2,3,9,5,8,7
48,37,Married,Research Scientist,No,Travel_Rarely,73,408,3022,36264,Research & Development,19,2,Life Sciences,2,Male,3,1,2,4,No,21,4,1,80,0,8,1,3,1,0,0,0
